ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,abs_err_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
4252.207,da3_marker_yellow,yellow,221.6426470588235,119.04575163398694,222,120,1.0189656856862663,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.3948395252227783,3.3898391723632812,5.26171875,1.8668792247772217,0.04296875,3.3948395252227783,0.697654664516449,0.4826996922492981,51,1
4252.207,da3_marker_orange,orange,185.45624999999998,128.33333333333334,186,129,0.8602955927728855,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.3948376178741455,3.389836549758911,5.28125,1.8864123821258545,0.046875,3.3948376178741455,1.5376545190811157,0.26269978284835815,52,1
4252.224,da3_marker_red,red,199.23749999999998,110.44444444444444,200,111,0.9434236722219078,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.3948354721069336,3.389835834503174,5.265625,1.8707895278930664,0.0,3.3948354721069336,1.2176545858383179,0.6823779344558716,45,1
4252.224,da3_marker_purple,purple,204.35625,131.83333333333334,205,133,1.3324883390150564,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.394843578338623,3.3898425102233887,5.28125,1.886406421661377,0.00390625,3.394843578338623,1.0976544618606567,0.18237793445587158,36,1
4252.224,da3_marker_green,green,208.6875,119.77777777777779,209,121,1.2615400946834023,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.3948400020599365,3.3898394107818604,5.26953125,1.8746912479400635,0.0078125,3.3948400020599365,0.9976546168327332,0.4623779058456421,45,1
4252.224,da3_marker_cyan,cyan,165.42635869565217,97.94927536231884,166,99,1.1971159552374524,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.394827365875244,3.389828681945801,5.26171875,1.8668913841247559,0.00390625,3.394827365875244,1.9976545572280884,0.9823778867721558,46,1
4252.224,da3_marker_yellow,yellow,221.68125,119.0,222,120,1.0495720854233865,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.394841194152832,3.389841318130493,5.26953125,1.874690055847168,0.0078125,3.394841194152832,0.697654664516449,0.48237788677215576,52,1
4252.224,da3_marker_orange,orange,185.45624999999998,128.33333333333334,186,129,0.8602955927728855,-5.887218220232484e-23,0.000834026820330942,-0.0002906012155984548,3.3948400020599365,3.3898391723632812,5.27734375,1.8825037479400635,0.00390625,3.3948400020599365,1.5376545190811157,0.2623779773712158,52,1
4252.273,da3_marker_red,red,199.23749999999998,110.44444444444444,200,111,0.9434236722219078,-4.961554978308754e-23,0.0010139024210439561,-0.0002906012155984548,3.39483642578125,3.389836549758911,5.16796875,1.77313232421875,0.09765625,3.39483642578125,1.2176545858383179,0.6820366382598877,45,1
4252.273,da3_marker_purple,purple,204.35625,131.83333333333334,205,133,1.3324883390150564,-4.961554978308754e-23,0.0010139024210439561,-0.0002906012155984548,3.394845962524414,3.3898444175720215,5.1796875,1.784841537475586,0.1015625,3.394845962524414,1.0976544618606567,0.1820366382598877,36,1
4252.273,da3_marker_green,green,208.6875,119.77777777777779,209,121,1.2615400946834023,-4.961554978308754e-23,0.0010139024210439561,-0.0002906012155984548,3.3948416709899902,3.389841318130493,5.16796875,1.7731270790100098,0.1015625,3.3948416709899902,0.9976546168327332,0.4620366096496582,45,1
