ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
2129.179,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,2.65253571686723E-15,0.0833794886139572,-92.1794898129162,11.4944410324097,10,nan,nan,nan,11.4944410324097,-0.530313968658447,0.495249897241592,0,0,,,,
2129.211,da3_portrait_marker_red,red,nan,nan,237,133,nan,2.57177899049647E-15,0.0775141304389922,-92.1794898129162,11.4262447357178,10,nan,nan,nan,11.4262447357178,1.16845643520355,0.575314700603485,0,0,,,,
2129.211,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,2.57177899049647E-15,0.0775141304389922,-92.1794898129162,11.4646558761597,10,nan,nan,nan,11.4646558761597,0.169179886579514,0.29400634765625,0,0,,,,
2129.211,da3_portrait_marker_green,green,nan,nan,245,124,nan,2.57177899049647E-15,0.0775141304389922,-92.1794898129162,11.4480905532837,10,nan,nan,nan,11.4480905532837,0.568890631198883,1.29398465156555,0,0,,,,
2129.211,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,2.57177899049647E-15,0.0775141304389922,-92.1794898129162,11.4713821411133,10,nan,nan,nan,11.4713821411133,-0.0306757092475891,0.944015979766846,0,0,,,,
2129.211,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,2.57177899049647E-15,0.0775141304389922,-92.1794898129162,11.491005897522,10,nan,nan,nan,11.491005897522,-0.530313968658447,0.494042098522186,0,0,,,,
2129.245,da3_portrait_marker_red,red,nan,nan,237,133,nan,2.52208225344083E-15,0.0681364111392206,-92.1794898129162,11.4228401184082,10,nan,nan,nan,11.4228401184082,1.16845643520355,0.573458433151245,0,0,,,,
2129.245,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,2.52208225344083E-15,0.0681364111392206,-92.1794898129162,11.4612045288086,10,nan,nan,nan,11.4612045288086,0.169179886579514,0.292143821716309,0,0,,,,
2129.245,da3_portrait_marker_green,green,nan,nan,245,124,nan,2.52208225344083E-15,0.0681364111392206,-92.1794898129162,11.444803237915,10,nan,nan,nan,11.444803237915,0.568890631198883,1.29212486743927,0,0,,,,
2129.245,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,2.52208225344083E-15,0.0681364111392206,-92.1794898129162,11.4680376052856,10,nan,nan,nan,11.4680376052856,-0.0306757092475891,0.942152380943298,0,0,,,,
2129.245,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,2.52208225344083E-15,0.0681364111392206,-92.1794898129162,11.487587928772,10,nan,nan,nan,11.487587928772,-0.530314028263092,0.492175281047821,0,0,,,,
2129.295,da3_portrait_marker_red,red,nan,nan,237,133,nan,2.37920538179544E-15,0.0619687389610797,-92.1794898129161,11.4193878173828,10,nan,nan,nan,11.4193878173828,1.16845631599426,0.572254180908203,0,0,,,,
2129.295,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,2.37920538179544E-15,0.0619687389610797,-92.1794898129161,11.4577217102051,10,nan,nan,nan,11.4577217102051,0.169179767370224,0.290935456752777,0,0,,,,
2129.295,da3_portrait_marker_green,green,nan,nan,245,124,nan,2.37920538179544E-15,0.0619687389610797,-92.1794898129161,11.4414281845093,10,nan,nan,nan,11.4414281845093,0.568890452384949,1.29091835021973,0,0,,,,
2129.295,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,2.37920538179544E-15,0.0619687389610797,-92.1794898129161,11.4646253585815,10,nan,nan,nan,11.4646253585815,-0.0306758284568787,0.94094330072403,0,0,,,,
2129.295,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,2.37920538179544E-15,0.0619687389610797,-92.1794898129161,11.4841260910034,10,nan,nan,nan,11.4841260910034,-0.530314087867737,0.49096405506134,0,0,,,,
2129.344,da3_portrait_marker_red,red,nan,nan,237,133,nan,1.93815238364987E-15,0.0796896351528292,-92.1794898129161,11.412145614624,10,nan,nan,nan,11.412145614624,1.16845619678497,0.576038599014282,0,0,,,,
2129.344,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,1.93815238364987E-15,0.0796896351528292,-92.1794898129161,11.4505662918091,10,nan,nan,nan,11.4505662918091,0.169179558753967,0.294731765985489,0,0,,,,
2129.344,da3_portrait_marker_green,green,nan,nan,245,124,nan,1.93815238364987E-15,0.0796896351528292,-92.1794898129161,11.4339637756348,10,nan,nan,nan,11.4339637756348,0.568890273571014,1.29470956325531,0,0,,,,
2129.344,da3_portrait_marker_yellow,yellow,nan,nan,253,128,nan,1.93815238364987E-15,0.0796896351528292,-92.1794898129161,11.4572687149048,10,nan,nan,nan,11.4572687149048,-0.0306760370731354,0.944741666316986,0,0,,,,
2129.344,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,1.93815238364987E-15,0.0796896351528292,-92.1794898129161,11.4769105911255,10,nan,nan,nan,11.4769105911255,-0.530314326286316,0.494768530130386,0,0,,,,
