ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_raw_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
721.171,da3_marker_yellow,yellow,219.75707547169813,117.88469601677149,221,119,1.6699593881468546,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1069376468658447,2.166422292256355,2.026757773688449,0.11673450469970703,1.0572498593091968,1.196914377877103,0.012089252471923828,3.2236721515655518,0.6981430053710938,0.4817694425582886,53,1
721.171,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1117732524871826,2.1688425128698348,2.028867272449301,0.11189770698547363,1.0548284466028215,1.1948036870233554,0.01692509651184082,3.2236709594726562,1.5381429195404053,0.26176953315734863,52,1
721.204,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1117732524871826,2.1688425128698348,2.028867272449301,0.11189818382263184,1.0548289234399797,1.1948041638605136,0.0024178028106689453,3.2236714363098145,1.2181429862976074,0.6814669966697693,47,1
721.204,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706257820129395,1.0524088219165804,1.1926923225906294,0.004835844039916992,3.2236716747283936,1.0981428623199463,0.1814669966697693,47,1
721.204,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1093554496765137,2.167632402563095,2.0278122134768726,0.11431622505187988,1.0560392721652985,1.195859461251521,0.0024178028106689453,3.2236716747283936,0.9981429576873779,0.4614669680595398,47,1
721.204,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1190268993377686,2.172472963118553,2.032036268723262,0.10464358329772949,1.0511975195169452,1.191634213912236,0.0024178028106689453,3.223670482635498,1.998142957687378,0.9814669489860535,52,1
721.204,da3_marker_yellow,yellow,219.7125,117.83333333333333,221,119,1.737460031514713,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.104519844055176,2.1652121819496153,2.0257039530840286,0.11915230751037598,1.0584599696159365,1.1979681984815231,0.0024178028106689453,3.2236721515655518,0.6981430053710938,0.48146694898605347,52,1
721.204,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,6.409509751721931e-256,-6.342706673768448e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1093554496765137,2.167632402563095,2.0278122134768726,0.11431550979614258,1.0560385569095612,1.1958587459957837,0.0024178028106689453,3.2236709594726562,1.5381429195404053,0.2614670395851135,52,1
721.237,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1190268993377686,2.172472963118553,2.032036268723262,0.1046445369720459,1.0511984731912616,1.1916351675865524,0.0072536468505859375,3.2236714363098145,1.2181429862976074,0.6813274621963501,47,1
721.237,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1238625049591064,2.1748931837320327,2.03415195944627,0.09980916976928711,1.048778490996361,1.1895197152821235,0.007253408432006836,3.2236716747283936,1.0981428623199463,0.1813274621963501,47,1
