ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected,da3_depth_median,da3_depth_smoothed,gt_diff,da3_orig_diff,da3_smoothed_diff
1138.818,da3_elev_marker_red,red,21.2909149484536,105.79381443299,23,107,2.09185452063075,5.33182027436265e-23,2.57279271423262e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.3515625,2.78935703125,2.65143768554688,1.43741202354431,0.124793445205689,0.262712790908814,0.07421875,2.91415047645569,4.58132886886597,0.680921792984009,194.0,1.0,4.38671875,4.387552461673823,0.0,-0.07421875,-0.00035730500306740964
1138.862,da3_elev_marker_red,red,21.2909149484536,105.79381443299,23,107,2.09185452063075,4.59128968070117e-23,2.49375924591998e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.39453125,2.810862890625,2.67593387451172,1.48038077354431,0.103287585830689,0.23821660194397,0.04296875,2.91415047645569,4.58132886886597,0.681042730808258,194.0,1.0,4.38671875,4.387302348171676,0.0,0.04296875,-0.00025011350214665384
1138.885,da3_elev_marker_red,red,21.2909149484536,105.79381443299,23,107,2.09185452063075,4.44318356196887e-23,2.34503961752249e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.40625,2.816728125,2.68264859375,1.49209952354431,0.0974223514556885,0.231501882705689,0.01171875,2.91415047645569,4.58132886886597,0.681140065193176,194.0,1.0,4.390625,4.3882991437201735,0.0,0.01171875,0.0009967955484970759
1138.918,da3_elev_marker_red,red,21.2909149484536,105.79381443299,23,107,2.09185452063075,3.85075908703969e-23,2.13869924949417e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.390625,2.8089078125,2.6736988671875,1.47647452354431,0.105242663955689,0.240451609268189,0.015625,2.91415047645569,4.58132886886597,0.681277573108673,194.0,1.0,4.390625,4.388996900604122,0.0,-0.015625,0.0006977568839481307
1138.968,da3_elev_marker_red,red,21.3069230769231,105.765811965812,23,107,2.09516814866696,3.85075908703969e-23,1.88683014306369e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.39453125,2.810862890625,2.67593387451172,1.48038077354431,0.103287585830689,0.23821660194397,0.00390625,2.91415047645569,4.58132886886597,0.681438028812408,195.0,1.0,4.390625,4.389485330422885,0.0,0.00390625,0.0004884298187635139
1138.994,da3_elev_marker_red,red,21.3069230769231,105.765811965812,23,107,2.09516814866696,3.4064407308428e-23,1.60180015613989e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.4140625,2.82063828125,2.68713315429688,1.49991202354431,0.0935121952056885,0.227017322158813,0.01953125,2.91415047645569,4.58132886886597,0.681641936302185,195.0,1.0,4.390625,4.389827231296019,0.0,0.01953125,0.0003419008731340156
1139.052,da3_elev_marker_red,red,21.3069230769231,105.765811965812,23,107,2.09516814866696,2.36969789971673e-23,9.794470700233731e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.32421875,2.775671484375,2.63595102294922,1.41006827354431,0.138478992080688,0.27819945350647,0.08984375,2.91415047645569,4.58132886886597,0.682091474533081,195.0,1.0,4.390625,4.390066561907213,0.0,-0.08984375,0.0002393306111940774
1139.091,da3_elev_marker_red,red,21.3069230769231,105.765811965812,23,107,2.09516814866696,1.81429995447062e-23,6.6408088169858106e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.4140625,2.82063828125,2.68713315429688,1.49991202354431,0.0935121952056885,0.227017322158813,0.08984375,2.91415047645569,4.58132886886597,0.682334899902344,195.0,1.0,4.39453125,4.391405968335049,0.0,0.08984375,0.0013394064278360318
1139.118,da3_elev_marker_red,red,21.3069230769231,105.765811965812,23,107,2.09516814866696,1.18484894985837e-23,3.58886102678871e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.45703125,2.842144140625,2.71191379638672,1.54288077354431,0.0720063358306886,0.20223668006897,0.04296875,2.91415047645569,4.58132886886597,0.682590842247009,195.0,1.0,4.39453125,4.392343552834534,0.0,0.04296875,0.0009375844994847782
1139.166,da3_elev_marker_red,red,21.3315077319588,105.745704467354,23,107,2.08737244681663,6.664775342953311e-24,7.20656356609964e-10,91.8793231849237,2.91415047645569,2.90283274650574,4.38671875,2.806952734375,2.67146547607422,1.47256827354431,0.107197742080689,0.24268500038147,0.0703125,2.91415047645569,4.58132886886597,0.682865738868713,194.0,1.0,4.39453125,4.3929998619841735,0.0,-0.0703125,0.0006563091496394335
1139.196,da3_elev_marker_red,red,21.3315077319588,105.745704467354,23,107,2.08737244681663,1.8513264841537002e-24,-1.8960130889107502e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.44921875,2.838233984375,2.70739367919922,1.53506827354431,0.0759164920806885,0.20675679725647,0.0625,2.91415047645569,4.58132886886597,0.683135867118835,194.0,1.0,4.39453125,4.393459278388921,0.0,0.0625,0.000459416404747337
1139.219,da3_elev_marker_red,red,21.3028846153846,105.729914529915,23,107,2.11974473227804,-2.5918570778151802e-24,-4.20792429831691e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.390625,2.8089078125,2.6736988671875,1.47647452354431,0.105242663955689,0.240451609268189,0.05859375,2.91415047645569,4.58132886886597,0.68346494436264,195.0,1.0,4.39453125,4.393780869872245,0.0,-0.05859375,0.0003215914833241129
1139.269,da3_elev_marker_red,red,21.3028846153846,105.729914529915,23,106,1.71847222551007,-5.55397945246109e-24,-6.17599012326487e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.35546875,2.791312109375,2.65365653076172,1.44131827354431,0.122838367080689,0.26049394569397,0.03515625,2.91415047645569,4.58132886886597,0.683831572532654,195.0,1.0,4.39453125,4.394005983910571,0.0,-0.03515625,0.00022511403832581323
1139.302,da3_elev_marker_red,red,21.3513461538462,105.690028490028,23,106,1.67754041424697,-8.88636712393775e-24,-7.774198814753821e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.4296875,2.82845859375,2.69612166992188,1.51553702354431,0.0856918827056887,0.218028806533813,0.07421875,2.91415047645569,4.58132886886597,0.684124529361725,195.0,1.0,4.39453125,4.394163563737399,0.0,0.07421875,0.00015757982682806926
1139.359,da3_elev_marker_red,red,21.3513461538462,105.690028490028,23,106,1.67754041424697,-1.40700812795681e-23,-9.828730608745891e-09,91.8793231849237,2.91415047645569,2.90283274650574,4.3828125,2.80499765625,2.66923370117188,1.46866202354431,0.109152820205689,0.244916775283814,0.046875,2.91415047645569,4.58132886886597,0.684490084648132,195.0,1.0,4.39453125,4.394273869616179,0.0,-0.046875,0.00011030587878035902
1139.393,da3_elev_marker_red,red,21.3513461538462,105.690028490028,23,106,1.67754041424697,-1.5551142466891102e-23,-1.03004989125251e-08,91.8793231849237,2.91415047645569,2.90283274650574,4.40234375,2.814773046875,2.68040873779297,1.48819327354431,0.0993774295806884,0.23374173866272,0.01953125,2.91415047645569,4.58132886886597,0.684629499912262,195.0,1.0,4.39453125,4.394351083731325,0.0,0.01953125,7.72141151461625e-05
