t_sec,x,y,z
1763913433.971224,6.06601657508197,-4.651282820881107,886.2881230692234
1763913434.026073,6.065761816573935,-4.651094973014649,885.9194564890288
1763913434.078575,6.065507737213464,-4.650907658683137,885.5507828291478
1763913434.131377,6.065254963730559,-4.650721178783882,885.1821020895154
1763913434.183478,6.065002479468472,-4.650535803165284,884.8134142699265
1763913434.237275,6.064750874623768,-4.650351800066293,884.4447193704461
1763913434.289786,6.064500551809334,-4.65016942109591,884.0760173916985
1763913434.343377,6.064250304626422,-4.649988889346696,883.7073083331064
1763913434.398103,6.06400026380889,-4.649808866909493,883.3385921945113
1763913434.452282,6.063751012090444,-4.649629602999367,882.9698689761461
1763913434.526757,6.063502786118108,-4.649451533545413,882.6011311749821
1763913434.591634,6.0632558384178825,-4.649272883601122,882.2323803111747
1763913434.657946,6.063010034818182,-4.64909421239109,881.8636151197327
1763913434.711932,6.062765117421678,-4.648915300710528,881.4948446443617
1763913434.766137,6.06252117856971,-4.648735777750978,881.1260660485343
1763913434.821397,6.06227820891642,-4.64855638194275,880.7572671894524
1763913434.875411,6.062035398740913,-4.6483767156966875,880.388463309533
1763913434.929971,6.06179260834546,-4.648195737071063,880.019659063262
1763913434.98454,6.061549916721347,-4.648014297902289,879.6508482244219
1763913435.040319,6.061306969092526,-4.6478304617150625,879.2820307929754
1763913435.107302,6.061063401516897,-4.64764325654424,878.9132067690164
1763913435.17298,6.060819981237041,-4.647452390456281,878.5443761536429
1763913435.243275,6.060576903954114,-4.647257714081736,878.1755314429327
1763913435.309029,6.060333622979922,-4.647060291683942,877.8066741567616
1763913435.374079,6.060090837282828,-4.64686066470289,877.4378179905923
1763913435.444881,6.059848344416536,-4.646661510616817,877.0689613955329
1763913435.509452,6.059605270381069,-4.646463565980229,876.7000981713073
1763913435.576449,6.059362335241319,-4.646267513166165,876.3312281356751
1763913435.646763,6.059119113174698,-4.646074631356175,875.9623512638315
1763913435.701979,6.058876738459714,-4.645884941538533,875.5934675558414
1763913435.756708,6.058635673462728,-4.645698452868121,875.2245770117423
1763913435.814183,6.058395892734533,-4.645513605922884,874.8556796315344
1763913435.867483,6.058157825914286,-4.6453304362394165,874.4867754151892
1763913435.921706,6.057920982070018,-4.645149945577207,874.1178643629866
1763913435.975968,6.057684892590325,-4.644970915524348,873.7489464744795
1763913436.033121,6.057449088158199,-4.644792403914106,873.3800217499748
1763913436.103382,6.0572130809467195,-4.644615674335794,873.0110901893148
1763913436.175634,6.056976965339482,-4.644440927479816,872.6421444335857
1763913436.251045,6.056740274734664,-4.6442669356025394,872.2731935809185
1763913436.305479,6.056503313965105,-4.6440932456202075,871.9042347499087
1763913436.359137,6.056266041488145,-4.643920500138426,871.5352707829878
1763913436.413917,6.0560287328896765,-4.643749194995887,871.1663136833843
1763913436.466988,6.055791920406332,-4.643577938983514,870.797355872322
1763913436.522028,6.055555299086472,-4.643407044291894,870.4283986623162
1763913436.574889,6.055319005106882,-4.643236839957261,870.0594404094285
1763913436.630204,6.055082963324183,-4.643066706836744,869.6904748331095
1763913436.683584,6.054846637289725,-4.642896646279259,869.3215019334431
1763913436.736706,6.054609492900194,-4.642726652647222,868.9525217104015
1763913436.790045,6.054372135558067,-4.642556723941946,868.583534164217
1763913436.844897,6.054134032185228,-4.642386841234973,868.2145392946572
1763913436.898455,6.053896199729992,-4.64221699336905,867.8455371016755
1763913436.953082,6.053658985002924,-4.64204715694476,867.476527585337
1763913437.010039,6.053422234418915,-4.641877298068704,867.1075107455019
1763913437.065155,6.053186265730011,-4.641707381375879,866.7384866091918
1763913437.118447,6.052951624079376,-4.641537367866745,866.3694552641788
1763913437.171605,6.052717718033187,-4.641367202751987,866.0004167468268
1763913437.226776,6.052485395762502,-4.6411968390036185,865.6313711303211
1763913437.279457,6.052254405267715,-4.641026214377841,865.2623183755029
1763913437.332593,6.052024869806604,-4.640856045512482,864.8932509822308
1763913437.386267,6.051796900401147,-4.640685464955524,864.5241705012032
1763913437.441779,6.051569896639644,-4.640515459805664,864.1550831842809
1763913437.495446,6.051343726841818,-4.640345461126369,863.785989031175
1763913437.550603,6.0511182476176275,-4.6401758218485485,863.4168880421277
1763913437.60761,6.050893320879897,-4.640005966499212,863.047780216804
1763913437.662259,6.050668796900809,-4.639836241499172,862.6786655555389
1763913437.716926,6.050445076749837,-4.639668405867211,862.3095514954045
