map,iteration,drones,time
4,18,1,12.22
4,19,1,12.15
4,20,1,12.34
4,21,1,12.14
4,22,1,11.94
4,23,1,12.3
4,24,1,12.45
4,25,1,12.31
4,26,1,12.43
4,27,1,12.34
4,28,1,12.56
4,29,1,13.45
4,30,1,12.38
4,1,2,6.01
4,2,2,6.45
4,3,2,6.5
4,4,2,6.44
4,5,2,6.54
4,6,2,6.58
4,7,2,6.29
4,8,2,6.65
4,9,2,6.22
4,10,2,5.79
4,11,2,6.66
4,12,2,6.16
4,13,2,6.38
4,14,2,6.19
4,15,2,6.13
4,16,2,6.32
4,17,2,6.36
4,18,2,6.59
4,19,2,5.88
4,20,2,6.28
4,21,2,6.64
4,22,2,6.2
4,23,2,6.01
4,24,2,7.11
4,25,2,6.31
4,26,2,6.39
4,27,2,5.99
4,28,2,6.18
4,29,2,6.26
4,30,2,6.36
4,1,3,4.77
4,2,3,4.5
4,3,3,4.1
4,4,3,4.68
4,5,3,12.46
4,6,3,4.22
4,7,3,4.27
4,8,3,4.06
4,9,3,3.98
4,10,3,4.04
4,11,3,4.7
4,12,3,4.16
4,13,3,4.44
4,14,3,4.46
4,15,3,4.15
4,16,3,4.13
4,17,3,4.35
4,18,3,7.63
4,19,3,4.33
4,20,3,4.44
4,21,3,4.21
4,22,3,4.34
4,23,3,4.35
4,24,3,5.05
4,25,3,4.55
4,26,3,4.34
4,27,3,4.95
4,28,3,4.49
4,29,3,4.01
4,30,3,4.43
5,1,1,12.64
5,2,1,13.99
5,3,1,15.21
5,4,1,13.94
5,5,1,12.42
5,6,1,12.67
5,7,1,12.15
5,8,1,12.99
5,9,1,12.15
5,10,1,13.2
5,11,1,12.81
5,12,1,12.48
5,13,1,12.3
5,14,1,13.64
5,15,1,12.63
5,16,1,12.79
5,17,1,12.27
5,18,1,13.7
5,19,1,12.51
5,20,1,14.93
5,21,1,12.44
5,22,1,14.81
5,23,1,12.43
5,24,1,12.87
5,25,1,12.73
5,26,1,12.39
5,27,1,12.36
5,28,1,12.37
5,29,1,12.3
5,30,1,12.41
5,1,2,6.47
5,2,2,11.96
5,3,2,6.02
5,4,2,6.39
5,5,2,7.27
5,6,2,6.01
5,7,2,6.78
5,8,2,6.19
5,9,2,6.03
5,10,2,6.21
5,11,2,6.36
5,12,2,6.72
5,13,2,6.39
5,14,2,6.51
5,15,2,6.51
5,16,2,10.94
5,17,2,10.95
5,18,2,6.52
5,19,2,7.19
5,20,2,17.78
5,21,2,7.02
5,22,2,6.78
5,23,2,6.61
5,24,2,6.21
5,25,2,6.34
5,26,2,7.06
5,27,2,6.21
5,28,2,6.57
5,29,2,7.48
5,30,2,6.83
5,1,3,5.6
5,2,3,4.35
5,3,3,4.84
5,4,3,4.52
5,5,3,5.17
5,6,3,4.58
5,7,3,4.46
5,8,3,4.2
5,9,3,4.22
5,10,3,7.33
5,11,3,4.11
5,12,3,4.26
5,13,3,4.13
5,14,3,4.51
5,15,3,19.7
5,16,3,4.19
5,17,3,4.25
5,18,3,4.59
5,19,3,5.02
5,20,3,4.35
5,21,3,4.27
5,22,3,4.62
5,23,3,4.21
5,24,3,4.66
5,25,3,4.18
5,26,3,4.25
5,27,3,5.07
5,28,3,4.48
5,29,3,4.91
5,30,3,4.31
6,1,1,13.1
6,2,1,13.44
6,3,1,13.63
6,4,1,13.47
6,5,1,13.28
6,6,1,13.82
6,7,1,13.12
6,8,1,13.52
6,9,1,13.39
6,10,1,13.48
6,11,1,13.5
6,12,1,13.15
6,13,1,13.1
6,14,1,13.32
6,15,1,13.61
6,16,1,13.32
6,17,1,13.39
6,18,1,13.69
